r;R;A;V
3.3;50.39;6564.747628;10831.83359
3.06;26.93;3253.250585;4977.473396
5.66;32.65;7295.572095;20646.46903
4.61;45.99;8369.973282;19292.78842
5.3;22.17;4638.753547;12292.6969
8.76;43.77;15137.02017;66300.14833
3.55;57.26;8024.896382;14244.19108
3.86;76.12;11599.67499;22387.37273
7.61;13.56;4073.841078;15500.9653
8.01;67.59;21373.45343;85600.68099
3.21;52.6;6665.772899;10698.5655
4.27;40;6742.913727;14396.12081
3.09;33.79;4121.985008;6368.466838
2.22;60.51;5303.222689;5886.577185
8.75;55.44;19150.98038;83785.53916
5.78;31.68;7228.908839;20891.54654
5.97;35.75;8425.779973;25150.95322
3.32;56.39;7390.944056;12268.96713
3.57;16.47;2321.24805;4143.42777
2.59;31.79;3250.49894;4209.396127
7.27;82;23534.66387;85548.50317
8.19;83.46;26984.97493;110503.4723
3.1;78.68;9629.101881;14925.10792
4.71;61.95;11519.19034;27127.69325
4.75;65.03;12194.58711;28962.14439
5.44;73.5;15785.05049;42935.33735
1.77;68.18;4764.200167;4216.317148
8.54;73.23;24689.17861;105422.7927
4.17;63.53;10458.62634;21806.23592
7.35;34.22;9929.493161;36490.88737
3.5;55.19;7625.848537;13345.23494
7.08;84.15;23520.5306;83262.67831
5.22;61.61;12696.42491;33137.66902
5.07;27.51;5506.27993;13958.41962
1.66;49.16;3221.659956;2673.977763
4.22;45.05;7505.281449;15836.14386
4.58;74.54;13477.66332;30863.849
8.49;64.71;21688.96494;92069.65618
5.57;75.83;16674.62163;46438.82123
5.8;21.05;4819.920005;13977.76802
2.71;43.93;4699.917459;6368.388157
8.25;23.99;7813.469716;32230.56258
5.39;34.66;7375.255333;19876.31312
5.66;77.11;17230.06322;48761.07892
1.84;15.27;1109.217204;1020.479827
8.69;19.7;6758.428745;29365.3729
7.6;21.04;6312.756889;23988.47618
2.62;65.33;6757.307558;8852.072901
5.91;33.52;7820.800858;23110.46654
6.38;59.77;15054.40763;48023.56034
2.94;85.2;9888.869869;14536.63871
3.47;25.62;3509.686595;6089.306242
5.89;60.01;13953.99806;41094.52429
8.8;78.94;27424.55131;120668.0258
5.18;15.5;3169.722149;8209.580367
3.57;55.4;7807.962477;13937.21302
6.25;68.8;16975.71957;53049.12366
1.46;69.29;3993.770951;2915.452795
6.01;34.72;8237.850862;24754.74184
6.72;56.79;15066.10114;50622.09982
3.22;68.2;8669.61842;13958.08566
3;51.28;6073.359764;9110.039646
5.39;34.77;7398.662087;19939.39432
1.95;29.65;2282.54341;2225.479825
1.35;38.32;2042.2975;1378.550812
8.1;55.27;17673.97434;71579.59609
2.41;52.35;4980.735339;6001.786084
8.01;24.08;7614.62877;30496.58822
2.17;29.38;2516.930723;2730.869834
6.17;79.81;19440.26638;59973.22178
7.34;25.23;7310.937095;26831.13914
4.61;78.82;14344.88572;33064.96158
5.05;12.91;2573.815175;6498.883317
1.12;13.07;577.9008683;323.6244862
5.15;45.71;9293.476114;23930.70099
2.98;13.8;1623.510446;2419.030564
2.05;15.9;1286.799022;1318.968997
8.14;28.68;9216.441878;37510.91844
4.45;33.66;5913.353738;13157.21207
4.33;18;3076.947868;6661.592134
3.75;81.92;12127.76989;22739.56854
3.82;48.8;7359.408696;14056.47061
4.94;72.19;14078.73802;34774.4829
8.92;41.97;14779.62995;65917.14956
6.89;46.06;12528.61005;43161.06163
2.18;70.28;6048.504153;6592.869526
5.02;80.57;15967.49605;40078.4151
1.61;27.55;1751.084952;1409.623386
3.64;17.5;2514.775201;4576.890867
8.88;28.48;9984.18656;44329.78833
3.05;85.02;10237.18795;15611.71162
5.55;61.58;13492.49931;37441.68557
6.5;87.99;22579.08877;73382.03851
7.52;44.4;13181.3699;49561.95081
5.76;14.22;3233.566646;9312.671942
5.79;63.42;14496.54601;41967.50069
7.83;58.46;18070.92194;70747.65938
5.36;55.16;11672.0942;31281.21246
2.34;60.84;5620.368609;6575.831273
8.24;76.75;24966.94086;102863.7963
6.37;67.44;16959.64396;54016.46601
5.28;78.64;16392.19697;43275.40001
3.27;70.77;9136.012497;14937.38043
8.66;81.85;27983.13144;121166.9592
8.33;11.24;3696.332658;15395.22552
1.89;25.2;1880.278074;1776.86278
7.12;86.06;24190.28985;86117.43186
3.71;38.94;5703.344347;10579.70376
1.27;76.59;3840.038045;2438.424159
6.62;74.6;19496.49549;64533.40007
3.98;44.78;7036.01729;14001.67441
4.68;55.69;10289.2284;24076.79445
6.79;75.07;20123.14826;68318.08833
3.86;39;5943.080986;11470.1463
7.72;73.75;22477.03706;86761.36306
7.96;67.12;21092.33946;83947.51106
4.32;40.71;6942.958765;14996.79093
1.62;78.08;4993.609251;4044.823494
5.44;41.63;8940.566695;24318.34141
5.04;74.99;14920.85214;37600.5474
7.98;14.26;4492.438636;17924.83016
1.55;59.65;3650.075796;2828.808742
1.63;32.31;2079.142707;1694.501306
7.57;31.02;9270.377292;35088.37805
2.71;61.61;6591.438986;8931.399826
3.92;29.49;4563.736658;8944.923849
5.05;42.8;8532.865181;21545.48458
2.02;59.93;4779.201965;4826.993985
7.22;39.74;11327.25812;40891.40181
3.55;36.48;5112.612993;9074.888063
5.41;39.17;8365.859631;22629.6503
4.79;45.54;8611.68779;20624.99226
2.83;53.97;6029.740061;8532.082186
1.46;27.4;1579.294618;1152.885071
2.17;19.6;1679.096058;1821.819222
2.94;65.44;7595.394885;11165.23048
6.85;53.31;14416.47193;49376.41636
4.31;26.29;4473.295551;9639.951912
8.64;19.05;6497.83171;28070.63299
6.97;26.5;7291.861124;25412.13602
6.44;10.6;2694.954699;8677.754132
8.12;47.26;15149.89013;61508.55393
1.53;67.47;4075.321519;3117.620962
7.31;69.31;20001.9811;73107.24091
4.23;59.75;9977.873961;21103.20343
6.64;68.63;17990.44123;59728.26489
6.41;57.82;14631.7359;46894.71356
2.36;78.76;7337.995602;8658.834811
2.39;24.02;2266.369102;2708.311077
2.6;27.02;2773.437794;3605.469132
2.79;76.45;8420.568822;11746.69351
3.41;83.34;11219.34781;19128.98802
8.41;31.52;10465.06527;44005.59946
7.92;47.52;14858.03408;58837.81497
8.7;73.78;25340.64356;110231.7995
4.43;18.4;3217.964776;7127.791978
2.88;12.32;1400.757422;2017.090688
2.88;85.94;9771.192602;14070.51735
6.73;79.52;21127.64896;71094.53874
2.23;16;1408.58994;1570.577783
3.12;82.11;10113.70735;15777.38347
1.24;52.93;2591.094878;1606.478825
2.58;66.6;6783.49754;8750.711827
4.72;25.08;4673.360328;11029.13037
3.08;37.87;4604.746838;7091.310131
7.76;32.06;9821.661811;38108.04783
5.01;11.83;2339.818698;5861.245839
6.24;38.53;9491.685405;29614.05846
7.52;48.21;14312.47394;53814.902
8.78;24.06;8339.689388;36611.23641
6.35;23.69;5938.797578;18855.68231
3.76;29.2;4334.414426;8148.69912
4.38;54.18;9368.560116;20517.14665
7.77;18.66;5723.904707;22237.36979
1.81;28.33;2024.346663;1832.03373
1.31;25.33;1309.984696;858.0399762
4.62;73.83;13465.87506;31106.17139
2.84;22.68;2542.852252;3610.850198
8.01;28.4;8980.70835;35967.73694
6.42;40.69;10312.93914;33104.53462
5.58;55.33;12188.62192;34006.25516
4.85;86.44;16550.69493;40135.4352
7.01;70.61;19540.87318;68490.7605
4.16;80.32;13190.97105;27437.21978
8.28;64.62;21123.06946;87449.50757
8.01;86.45;27337.40271;109486.2978
5.3;57.12;11951.53823;31671.57631
6.21;82.26;20166.94167;62618.35387
3.79;75.46;11290.56688;21395.62423
6.77;54.99;14697.11611;49749.73802
5.03;25.88;5139.158281;12924.98308
6.86;78.05;21137.65279;72502.14907
4.37;54.95;9480.011637;20713.82543
7.87;81.19;25225.33895;99261.70876
3.68;51.52;7484.855316;13772.13378
4.52;27.27;4866.125545;10997.44373
6.37;89.85;22595.25518;71965.88776
4.86;78.1;14984.66506;36412.73609
7.3;11.21;3230.637348;11791.82632
2.3;37.21;3378.681414;3885.483626
3.27;24.54;3167.977203;5179.642728
5.13;37.03;7499.474174;19236.15126
5.37;11.58;2454.949607;6591.539696
4.83;69.18;13191.29477;31856.97687
2.32;35.18;3222.133697;3737.675088
2.89;51.2;5841.542496;8441.028907
8.57;62.4;21111.79443;90464.03911
8.43;15.52;5165.103497;21770.91124
4.74;49.53;9268.434953;21966.19084
7.38;37.06;10797.45775;39842.61911
1.38;52.16;2841.688082;1960.764777
4.64;47.96;8785.305975;20381.90986
4.15;84.18;13791.66675;28617.70852
7.82;20.85;6436.837555;25168.03484
1.58;40.03;2496.90727;1972.556743
8.88;27.26;9556.493175;42430.8297
8.02;64.46;20409.12597;81840.59512
3.88;81.92;12548.19924;24343.50653
6.65;23.95;6287.628876;20906.36601
2.39;37.75;3561.841532;4256.400631
6.83;29.85;8048.682128;27486.24947
2.58;10.85;1105.119344;1425.603954
4.38;79.44;13736.40487;30082.72666
6.54;65.24;16844.24065;55080.66692
3.52;57.22;7951.521795;13994.67836
7.73;54.22;16546.21807;63951.13285
1.11;33.33;1460.555381;810.6082366
1.63;43.99;2830.748612;2307.060119
5.98;83.29;19663.18127;58792.91198
8.47;69.41;23209.4683;98292.09826
1.88;40.19;2982.878695;2803.905973
5.02;76.34;15129.18765;37974.261
4.31;34.82;5924.691939;12767.71113
4.85;42.69;8173.868191;19821.63036
3.55;25.24;3537.345174;6278.787684
6.07;15.33;3673.589141;11149.34304
3.97;85.58;13412.89502;26624.59662
6.34;12.37;3096.126483;9814.720952
5.33;63.2;13298.54184;35440.61401
6.86;68.49;18548.595;63621.68084
4.23;83.79;13992.40266;29593.93164
6.11;83.94;20247.43026;61855.89945
5.52;64.53;14062.43343;38812.31627
3.89;40.52;6222.698722;12103.14902
2.29;38.76;3504.120138;4012.217558
2.48;85.06;8327.92482;10326.62678
6.35;89.79;22509.27119;71466.93603
1;17.14;676.6600777;338.3300389
4.86;38.88;7459.71546;18127.10857
3.92;70.43;10899.42261;21362.86832
8.53;45.74;15402.98627;65693.73642
3.88;83.5;12790.21774;24813.02241
8.49;58.5;19607.54828;83234.04245
3.13;36.87;4555.931775;7130.033227
1.38;20.24;1102.679578;760.8489087
1.89;82.84;6181.041096;5841.083836
6.64;63.57;16664.02957;55324.57816
4.47;72.9;12864.5556;28752.28176
4.08;17.58;2831.644772;5776.555336
2.05;48.08;3891.150753;3988.429522
7.88;75.11;23365.9647;92061.9009
2.75;69.24;7517.085496;10335.99256
6.55;12.01;3105.58946;10170.80548
2.01;24.46;1940.94061;1950.645313
1.54;82.03;4987.158478;3840.112028
8.51;13.76;4622.827953;19670.13294
5.28;41.35;8619.243959;22754.80405
8.51;32.83;11029.61059;46930.99306
2.5;11.91;1175.469884;1469.337355
8.73;68.79;23708.23863;103486.4616
3.27;54.26;7004.663531;11452.62487
8.36;11.6;3828.459026;16002.95873
4.42;39.57;6904.751552;15259.50093
6.74;30.01;7985.196885;26910.1135
5.41;74.9;15997.01012;43271.91237
4.02;61.93;9828.491577;19755.26807
3.29;16.8;2182.051098;3589.474056
8.84;84.9;29629.18407;130960.9936
5.01;21;4153.524316;10404.57841
1.44;11.86;674.2282072;485.4443092
6.65;57.93;15208.44847;50568.09115
7.63;66.99;20178.74966;76981.92995
2.93;84.09;9726.8386;14249.81855
1.22;27.32;1315.83145;802.6571846
6.88;84.65;22991.91459;79092.18617
5.48;83.16;17990.97814;49295.2801
8.18;27.7;8945.256731;36586.10003
5.88;38.46;8927.838853;26247.84623
5.41;65.48;13985.10311;37829.7039
8.93;47.63;16791.58828;74974.44168
4.94;27.3;5324.138355;13150.62174
3.45;14.17;1929.961662;3329.183867
4.2;72.04;11944.90586;25084.3023
8.94;14.44;5096.411051;22780.9574
5.64;76.78;17095.70238;48209.8807
6.74;52.38;13937.50793;46969.40171
1.81;22.36;1597.754726;1445.968027
5.02;83.59;16566.00466;41580.67169
5.05;34.82;6941.92443;17528.35919
2.55;14.14;1423.473304;1814.928462
3.59;73.63;10435.39724;18731.53804
8.97;88.37;31293.70864;140352.2833
6.29;42.71;10605.71503;33354.97376
2.52;16.57;1648.476597;2077.080512
5.5;38.92;8450.750072;23239.5627
5.69;83.94;18855.62655;53644.25752
1.59;70.59;4430.982583;3522.631153
6.35;62.2;15592.7906;49507.11016
2.86;71.89;8116.975843;11607.27546
3.83;53.07;8024.308153;15366.55011
6.17;62.37;15192.19915;46867.93438
1.74;36.73;2523.073565;2195.074001
4.69;84.42;15630.68199;36653.94926
6.22;20.81;5110.015314;15892.14763
8.98;75.1;26624.16588;119542.5048
3.94;80.79;12566.47775;24755.96117
8.56;70.33;23766.98646;101722.7021
7.67;10.79;3267.206206;12529.7358
1.99;30.73;2414.211828;2402.140769
5.89;70.94;16495.52779;48579.32933
1.1;27.02;1173.377528;645.3576404
5.49;38.87;8424.548247;23125.38494
4.32;46.6;7947.479205;17166.55508
2.73;87.17;9394.840899;12823.95783
8.42;11.82;3929.065825;16541.36712
4.85;72.59;13898.83092;33704.66498
2.08;80.04;6572.493294;6835.393025
2.74;52.37;5664.90816;7760.924179
2.89;68.86;7856.418287;11352.52442
5.04;26.75;5322.480261;13412.65026
5.15;17.78;3614.920265;9308.419682
1.23;22.13;1074.598579;660.8781263
6.6;29.83;7772.431901;25649.02527
6.3;74.62;18559.04099;58460.97911
6.94;83.67;22923.92485;79546.01925
3.39;84.18;11265.96393;19095.80886
2.98;53.92;6343.455306;9451.748406
5.21;55.01;11314.59739;29474.5262
8.61;27.37;9303.314135;40050.76735
3.34;17.11;2256.088922;3767.6685
6.58;31.45;8169.703217;26878.32359
6.73;36.37;9663.136225;32516.4534
6.41;50.28;12723.68871;40779.4223
2.36;48.79;4545.718708;5363.948075
5.23;61.44;12685.6473;33172.9677
2.2;27.74;2409.28887;2650.217757
7.73;86.19;26302.44441;101658.9476
8.96;31.85;11266.1929;50472.5442
5.39;14.47;3079.052068;8298.045323
3.33;36.71;4826.011525;8035.309189
6.61;60.1;15683.23566;51833.09384
1.85;10.27;750.0701953;693.8149306
6.9;33.93;9242.568694;31886.862
2.38;69.13;6495.360361;7729.47883
4.44;80.69;14143.68001;31398.96963
2.79;56.78;6254.020899;8724.359154
7.89;35.66;11107.54493;43819.26476
2.08;26.91;2209.717573;2298.106276
3.63;39.95;5725.100903;10391.05814
3.41;60.4;8131.132803;13863.58143
7.05;89.8;24993.3914;88101.70469
6.73;74.57;19812.48469;66669.01099
8.97;30.25;10712.17253;48044.09379
3.38;41.63;5554.984454;9387.923727
5.02;82.69;16387.64117;41132.97933
5.2;75.58;15515.64977;40340.68941
7.97;24.94;7847.196128;31271.07657
1.64;25.67;1661.994007;1362.835086
7.71;63.76;19407.17952;74814.67704
2.51;26.04;2580.325166;3238.308083
2.5;48.94;4830.184394;6037.730492
7.35;44.86;13016.86333;47836.97274
6.93;35.51;9715.018761;33662.54001
3.86;43.33;6602.915362;12743.62665
7.81;86.69;26728.81921;104376.039
7.82;87.01;26861.83385;105029.7703
5.1;71.75;14446.13996;36837.6569
5.64;43.77;9745.752709;27483.02264
5.08;69.7;13978.36019;35505.03489
1.08;23.05;982.7757278;530.698893
7.05;32.22;8967.562037;31610.65618
4.74;80.18;15003.89894;35559.24049
8.73;45.64;15729.67017;68660.0103
3.82;39;5881.494655;11233.65479
1.26;14.03;697.8915707;439.6716896
6.21;75.81;18585.65339;57708.45377
3.46;21.74;2969.582364;5137.377489
1.35;70.17;3739.77076;2524.345263
4.2;16.11;2671.188692;5609.496253
6.74;72.46;19280.48538;64975.23573
7.36;76.36;22187.24969;81649.07885
7.74;37.97;11602.2253;44900.6119
5.22;29.39;6056.61302;15807.75998
3.35;49.06;6488.317412;10867.93166
8.25;51.33;16718.0242;68961.84982
2.34;65.51;6051.780861;7080.583608
7.55;59.94;17865.83945;67443.54393
1.03;75.62;3074.918677;1583.583119
3.08;18.55;2255.559911;3473.562264
4.6;34.38;6243.432787;14359.89541
8.34;18.24;6005.520051;25043.01861
2.22;56.49;4950.901499;5495.500664
6.03;40.36;9607.894075;28967.80064
5.05;20.63;4112.920764;10385.12493
2.46;57.82;5615.29958;6906.818484
2.24;22.74;2010.935845;2252.248146
8.34;31.85;10486.61259;43729.1745
4.03;13.68;2176.460954;4385.568822
6.02;26.55;6309.874964;18992.72364
2.95;69.85;8134.824036;11998.86545
2.41;61.81;5880.787991;7086.349529
6.04;75.08;17902.79915;54066.45342
7.77;31.2;9570.515909;37181.45431
7.19;32.2;9139.964287;32858.17161
6.15;64.99;15779.06951;48520.63876
5.38;64.94;13792.859;37102.79072
6.56;78.07;20218.44521;66316.50029
8.61;71.95;24456.46518;105285.0826
5.93;46.03;10775.94596;31950.67979
1.43;77.84;4394.390038;3141.988877
8.21;29.21;9467.481187;38864.01027
8.03;66.84;21189.06158;85074.08226
6.56;47.57;12319.60341;40408.2992
1.5;44.04;2607.944267;1955.9582
7.88;17.61;5478.29368;21584.4771
6.34;51.03;12772.46034;40488.69929
2.08;81.55;6696.487108;6964.346592
5.21;56.93;11709.5079;30503.26807
4.56;74.59;13427.80997;30615.40673
4.15;64.62;10587.04568;21968.11979
8.75;11.44;3951.789602;17289.07951
7.97;81.17;25539.57136;101775.1919
1.49;61.07;3592.310975;2676.271676
5.92;64.6;15097.8102;44689.5182
8.45;26.32;8780.157989;37096.1675
1.46;23.42;1349.893429;985.422203
4.73;36.86;6882.975257;16278.23648
5.1;67.05;13499.84229;34424.59784
5.74;52.83;11971.60116;34358.49534
3.68;61.42;8923.133026;16418.56477
2.52;74.23;7384.817006;9304.869427
2.84;55.23;6192.316132;8793.088908
6.36;54.76;13749.29062;43722.74418
3.25;89.51;11484.56777;18662.42263
4.52;64.23;11461.35841;25902.67
5.12;36.61;7399.960927;18943.89997
2.92;87.36;10070.59692;14703.0715
5.89;61.59;14321.39211;42176.49976
5.94;40.9;9591.123643;28485.63722
5.9;69.54;16197.44205;47782.45403
3.35;39.21;5185.628327;8685.927447
6.02;10.48;2490.677575;7496.939502
1.4;34.65;1915.098038;1340.568627
2.57;58.3;5915.090788;7600.891663
4.53;31.59;5649.468151;12796.04536
4.05;42.9;6859.177667;13889.83478
1.55;36.21;2215.745927;1717.203094
4.36;75.81;13048.86454;28446.52469
8.83;62.15;21665.14367;95651.60928
3.66;72.7;10504.49631;19223.22825
6.49;14.3;3663.873503;11889.26952
1.62;86.74;5547.459868;4493.442493
7.15;50.26;14186.92467;50718.2557
1.08;18.45;786.6469492;424.7893526
7.95;50.04;15705.22513;62428.26991
8.38;68.63;22704.80385;95133.12811
4.69;11.33;2097.792311;4919.32297
6.87;85.62;23221.57633;79766.1147
7.02;18.08;5010.663928;17587.43039
4.29;16.44;2784.318045;5972.362207
4.03;44.17;7027.359674;14160.12974
3.04;44.67;5361.04278;8148.785025
6.22;42.26;10377.18631;32273.04943
1.68;58.08;3852.082911;3235.749645
5.36;86.71;18348.21044;49173.20399
3.68;77.91;11318.80974;20826.60992
4.62;29.64;5406.048176;12487.97129
3.59;65.82;9328.505314;16744.66704
6.59;87.78;22837.08813;75248.20538
1.69;67.18;4482.15056;3787.417223
1.74;25.93;1781.195141;1549.639773
6.02;20.73;4926.693334;14829.34693
8.45;80.72;26927.59699;113769.0973
5.74;64.77;14677.2782;42123.78844
4.13;49.47;8065.878927;16656.03998
8.55;86.98;29359.27013;125510.8798
7.02;82.24;22791.86955;79999.46211
5.39;17.06;3630.174725;9783.320885
6.5;57.65;14793.55004;48079.03762
5.55;52.12;11419.76395;31689.84495
1.19;77.82;3655.930445;2175.278615
7.65;62.56;18893.73901;72268.55172
3.99;58.89;9276.287211;18506.19299
2.04;23.07;1857.964872;1895.124169
7.78;62.55;19211.73766;74733.65952
1.2;76.42;3620.328808;2172.197285
1.49;24;1411.748214;1051.752419
8.97;35.04;12408.41406;55651.73707
8.69;13.32;4569.65842;19855.16584
6.12;22.56;5450.674579;16679.06421
1.65;13.45;876.1247827;722.8029457
7.23;88.18;25169.12563;90986.38915
6.94;21.51;5893.314493;20449.80129
2.03;58.95;4724.323017;4795.187862
5.37;10.26;2175.110792;5840.172477
7.51;12.89;3821.66479;14350.35129
2.91;66.5;7639.665983;11115.714
3.45;15.86;2160.140576;3726.242494
3.61;27.05;3855.087218;6958.432429
6.84;44.6;12043.44399;41188.57844
6.56;66.94;17336.0154;56862.13051
5.1;43.92;8842.849716;22549.26678
6.5;85.88;22037.64228;71622.33739
3.19;41.35;5207.459892;8305.898527
4.78;25.72;4853.539826;11599.96018
8.52;20.83;7006.297938;29846.82921
2.28;89.54;8059.566328;9187.905614
5.39;69.7;14831.37036;39970.54312
7.21;11.16;3176.575603;11451.55505
3.14;46.96;5821.266381;9139.388218
4.68;57.47;10618.09941;24846.35261
8.32;54.22;17809.12476;74085.95899
3.53;75.12;10468.63412;18477.13922
3.96;17.34;2710.840815;5367.464813
3.07;22.16;2685.764124;4122.64793
6.43;83.32;21150.46748;67998.75296
4.39;15.26;2644.714465;5805.148251
5.16;19.87;4047.690574;10443.04168
2.09;19.97;1647.722559;1721.870074
8.58;39.25;13294.9493;57035.33252
1.68;19.91;1320.505695;1109.224784
1.81;36.22;2588.133997;2342.261267
3.77;65.27;9714.371315;18311.58993
5.21;71.77;14761.83702;38454.58545
2.94;44.21;5131.302076;7543.014052
4.63;45.19;8260.057472;19122.03305
5.96;37.5;8823.426335;26293.81048
5.03;13.08;2597.379842;6532.410304
7.12;16.15;4539.544283;16160.77765
4.12;79.4;12914.49579;26603.86134
7.27;86.24;24751.5782;89971.98675
5.97;63.9;15060.34518;44955.13037
5.83;53.16;12235.26172;35665.78792
7.34;73.71;21359.06355;78387.76321
2.63;64.98;6746.758925;8871.987986
8.77;77.27;26752.86157;117311.298
5.14;18.39;3731.681633;9590.421796
6.04;81.57;19450.33732;58740.01872
8.29;61.25;20045.66002;83089.26078
1.5;15.6;923.7949719;692.846229
5.79;85.83;19619.02466;56797.07638
3.36;47.67;6323.305522;10623.15328
4.84;36.36;6947.506678;16812.96616
7.27;11.99;3441.227071;12508.8604
2.7;33.43;3563.361451;4810.537959
4.57;81.82;14761.66727;33730.4097
3.99;33.15;5221.751079;10417.3934
6.88;40.67;11046.44024;37999.75442
2.32;50.15;4593.234931;5328.15252
1.3;26.81;1375.941289;894.3618377
8.46;20.29;6776.604608;28665.03749
3.17;74.42;9313.408767;14761.7529
7.58;37.73;11290.56688;42791.24846
8.14;71.61;23012.18281;93659.58402
8.3;49.32;16160.72712;67067.01753
4.44;42.8;7502.162654;16654.80109
2.37;52.33;4896.196256;5801.992563
2.18;52.52;4520.026154;4926.828508
6.42;66.67;16897.60757;54241.32031
1.7;40.99;2750.974574;2338.328388
3.94;71.97;11194.57116;22053.30518
2.94;35.84;4159.825072;6114.942855
7.4;87.13;25454.18349;94180.47892
6.55;58.61;15155.58687;49634.54698
6.19;28.28;6910.823333;21388.99821
7.83;13.98;4321.441818;16918.44472
2.86;70.29;7936.322604;11348.94132
4.67;60.12;11083.97632;25881.0847
7.69;61.27;18600.89995;71520.46032
2.74;86.1;9313.511411;12759.51063
3.59;58.86;8342.08178;14974.0368
2.62;37.92;3922.19658;5138.07752
1.61;58.86;3741.156453;3011.630945
4.54;85.46;15317.16808;34769.97154
8.17;62.18;20055.45461;81926.5321
7.27;32.36;9287.581986;33760.36052
8.53;71.26;23996.86929;102346.6475
2.45;59.41;5746.261335;7039.170136
6.33;46.74;11680.25044;36967.99265
8.47;17.54;5865.063737;24838.54493
6.38;13.15;3312.120802;10565.66536
1.43;63.97;3611.371155;2582.130376
6.83;56.83;15323.50437;52329.76741
8.32;73.74;24220.67244;100757.9973
6.25;37.34;9213.275708;28791.48659
8.18;89.28;28831.49895;117920.8307
6.67;62.36;16420.70039;54763.03581
2.66;45.41;4768.621749;6342.266927
7.5;79.47;23530.12385;88237.96445
5.78;85.94;19610.24071;56673.59564
2.07;81.26;6640.593564;6873.014339
7.66;24.44;7390.770351;28306.65044
5.13;30.55;6187.116825;15869.95466
2.25;69.12;6139.683506;6907.143944
7.46;20.35;5993.258055;22354.85254
6.21;50.59;12402.69364;38510.36375
3.97;80.99;12693.50746;25196.6123
6.57;80.62;20910.66768;68691.54333
5.16;71.27;14518.3144;37457.25116
4.29;19.8;3353.375748;7192.99098
7.02;34.42;9539.10688;33482.26515
4.65;81.78;15012.73421;34904.60704
3.44;22.67;3078.716501;5295.392382
7.3;43.42;12513.31611;45673.60382
6.66;38.4;10096.36843;33620.90688
7.43;71.73;21040.17663;78164.25617
1.51;30.05;1791.352938;1352.471468
8.95;24.25;8568.297061;38343.12935
3.1;23.71;2901.703172;4497.639917
1.18;83.25;3878.162353;2288.115788
6.91;11.92;3251.726719;11234.71581
7.79;81.55;25079.632;97685.16666
8.82;41.32;14387.60926;63449.35684
6.23;74.4;18298.7203;57000.51374
7.07;59.75;16676.96664;58953.07709
3.1;80.27;9823.691001;15226.72105
6.31;84.03;20932.61373;66042.39632
7;65.27;18037.29422;63130.52977
2.37;66.81;6251.0008;7407.435948
5.98;18.43;4350.971674;13009.40531
1.36;77.21;4145.454928;2818.909351
1.38;73.79;4020.09516;2773.865661
3.12;64.47;7940.941579;12387.86886
6.19;11.17;2729.628594;8448.200497
6.23;78.29;19255.46791;59980.78253
6.46;20.43;5210.274703;16829.18729
7.32;48.1;13900.03501;50874.12814
3.42;78.29;10570.41737;18075.41371
8.07;52.37;16684.60177;67322.36814
7.45;40.63;11949.8604;44513.22999
2.29;63.88;5775.108215;6612.498906
3.38;89.57;11951.9567;20198.80683
6.03;85.13;20265.61007;61100.81438
6.99;13.66;3769.533539;13174.51972
2.55;80.31;8084.80488;10308.12622
1.25;24.52;1210.0135;756.2584372
3.04;47.51;5701.883646;8666.863142
7.7;86.69;26352.35697;101456.5743
3.55;48.88;6850.452936;12159.55396
6.93;59.12;16174.37086;56044.19502
6.39;29.91;7545.308617;24107.26103
5.56;25.67;5634.565048;15664.09083
2.67;22.03;2322.124471;3100.036169
7.49;15.06;4453.141819;16677.01611
9;35.89;12751.92367;57383.65652
7.38;73.54;21425.93209;79061.68941
6.75;67.05;17867.43833;60302.60436
2.35;68.46;6351.327303;7462.809581
6.17;18.49;4503.828159;13894.30987
7.73;51.62;15752.78084;60884.49793
2.04;37.7;3036.206141;3096.930264
8.12;37.01;11864.10143;48168.25182
2.52;80.89;8047.391184;10139.71289
1.54;29.8;1811.743541;1395.042526
5.21;73.12;15039.50847;39177.91958
4.28;59.81;10105.95379;21626.74111
5.48;84.47;18274.3858;50071.8171
8.45;23.18;7732.677135;32670.56089
3.14;63.36;7854.246974;12331.16775
3.46;80.12;10944.01743;18933.15016
7.56;84.86;25327.0472;95736.2384
8.68;32.98;11301.34449;49047.83507
6.38;12.84;3234.040387;10316.58884
8.21;72.47;23488.81758;96421.59618
1.05;43.07;1785.352219;937.3099147
7.85;41.36;12817.69471;50309.45175
4.56;46.61;8390.806043;19131.03778
1.78;20.29;1425.810426;1268.971279
1.41;69.12;3847.534997;2712.512173
3;53.21;6301.939802;9452.909703
1.57;86.07;5334.714623;4187.750979
3.18;64.09;8045.946274;12793.05458
2.02;78.65;6272.05464;6334.775186
4.32;89.78;15311.68848;33073.24711
8.05;41.94;13328.58492;53647.55429
2.63;85.53;8880.429222;11677.76443
2.78;35.79;3927.952534;5459.854022
4.13;16.72;2726.126858;5629.451962
3.36;21.16;2806.820743;4715.458849
1.91;67.83;5114.638236;4884.479516
3.53;42.02;5855.85737;10335.58826
6.32;48.07;11993.63802;37899.89613
8.67;87.24;29860.32231;129444.4972
6.81;34.17;9186.536976;31280.1584
2.48;22.99;2250.869875;2791.078645
3.31;27.58;3603.976847;5964.581682
1.67;78.46;5172.785998;4319.276308
5.21;68.56;14101.59602;36734.65763
2.12;46.18;3865.000249;4096.900264
1.11;43.79;1918.923497;1065.002541
8.41;19.85;6590.467817;27712.91717
