r;R;A;V;V2
6.67;20.15;5305.919065;17695.24008;
6.33;49.7;12419.94966;39309.14066;
2;60.6;4784.784214;4784.784214;
3.53;70.13;9773.233636;17249.75737;
1.95;29.28;2254.059732;2197.708238;
1.5;58;3434.622332;2575.966749;
3.68;20.73;3011.666357;5541.466096;
2.79;38.74;4267.008975;5952.477521;
7.93;89.99;28172.61601;111704.4225;
8.22;39.87;12938.31707;53176.48316;
2.39;27.94;2636.234501;3150.300229;
3.54;84.33;11785.42095;20860.19507;
5.43;76.34;16364.83843;44430.53634;
3.43;36.53;4946.562821;8483.355238;
6.54;65.32;16864.89576;55148.20912;
7.18;55.95;15859.3094;56934.92074;
2.77;55.94;6117.330826;8472.503194;
6.61;88.8;23172.56782;76585.33666;
7.14;54.15;15263.58008;54490.98087;
4.25;53.33;8947.882046;19014.24935;
1.61;10.48;666.1114446;536.2197129;
3.94;13.23;2057.859892;4053.983987;
5.82;25.54;5868.182532;17076.41117;
6.93;10.42;2850.760222;9877.88417;
6.08;85.44;20508.05888;62344.499;
8.3;44.73;14656.71784;60825.37904;
3.22;46.2;5872.967316;9455.47738;
4.79;53.97;10205.81445;24442.92561;
5.58;76.17;16779.45656;46814.68382;
8.32;54.87;18022.62404;74974.116;
3.74;46.03;6796.296443;12709.07435;
1.12;13.47;595.5871993;333.5288316;
1.84;78.13;5675.385732;5221.354874;
5.15;31.15;6333.226448;16308.0581;
4.15;80.58;13201.8592;27393.85783;
6.7;22.24;5882.60005;19706.71017;
6.36;87.04;21854.24134;69496.48746;
4.08;88.39;14237.14911;29043.78419;
2.93;56.68;6556.27556;9604.943695;
8.82;59.9;20857.15863;91980.06957;
5.54;35.42;7746.723556;21458.42425;
2.81;59.7;6622.780902;9305.007167;
2.91;87.81;10087.80556;14677.75709;
1.06;78.93;3302.993392;1750.586498;
2.62;26.18;2707.887829;3547.333056;
1.31;74.87;3872.031355;2536.180538;
3.95;85.86;13388.9869;26443.24912;
4.28;73.65;12444.46575;26631.15671;
8.32;56.29;18489.03786;76914.39748;
4.01;54.09;8562.904309;17168.62314;
1.31;23.22;1200.862402;786.5648736;
3.47;63.18;8655.035092;15016.48588;
4.14;79.26;12954.30583;26815.41307;
5.96;31.67;7451.677654;22205.99941;
6.99;68.35;18861.4654;65920.82159;
5.33;85.69;18030.88687;48052.31351;
7.08;58.87;16454.58867;58249.24388;
4.94;39.55;7713.174796;19051.54175;
8.17;60.88;19636.15434;80213.69048;
2.2;30.71;2667.24085;2933.964935;
2.28;74.1;6669.799697;7603.571655;
2.26;38.56;3440.370389;3887.61854;
5.29;75.82;15834.31166;41881.75435;
3.89;66.24;10172.54599;19785.60194;
6.99;35.56;9812.929185;34296.1875;
6.75;89.42;23828.58069;80421.45983;
3.77;12.84;1911.023865;3602.279986;
3.5;14.83;2049.127266;3585.972715;
2.47;29.12;2839.540456;3506.832463;
3.79;35.73;5346.037033;10130.74018;
6;83.2;19707.62607;59122.8782;
5.09;28.65;5757.078422;14651.76458;
4.47;85;14999.82477;33524.60836;
7.24;46.02;13153.60867;47616.0634;
7.77;67.28;20637.95867;80178.46942;
6.54;82.93;21411.60142;70015.93666;
8.48;43.32;14502.53883;61490.76464;
8.98;62.09;22011.91024;98833.47699;
7.99;23.73;7485.21457;29903.43221;
8.88;17.26;6050.809692;26865.59503;
3.43;11.33;1534.206317;2631.163834;
3.87;29.68;4534.554212;8774.362399;
7.12;64.57;18149.74454;64613.09058;
3.6;86.25;12258.04867;22064.4876;
3.29;70.19;9116.557533;14996.73714;
3.83;32.4;4898.955797;9381.500352;
5.15;54.91;11163.96354;28747.20612;
5.48;40.03;8660.159391;23728.83673;
1.43;37.34;2107.997482;1507.2182;
1.49;63.93;3760.544304;2801.605506;
4.43;76.08;13305.58479;29471.87031;
8.96;50.59;17895.02979;80169.73348;
2.73;75.23;8107.994503;11067.4125;
3.63;89.6;12840.27637;23305.10161;
4.66;19.99;3677.548826;8568.688766;
5.78;74.09;16906.24545;48859.04935;
3.41;13.66;1838.928379;3135.372886;
3.61;89.76;12792.33378;23090.16247;
1.99;61.5;4831.566139;4807.408308;
6.53;11.19;2884.715609;9418.596464;
4.75;28.32;5310.636736;12612.76225;
5.76;53.41;12145.20356;34978.18624;
6.03;88.12;20977.3941;63246.84321;
3.24;18.4;2353.545344;3812.743457;
8.98;68.82;24397.8042;109546.1409;
8.32;68.85;22614.50091;94076.3238;
8.11;30.58;9790.797584;39701.6842;
4.68;83.14;15360.86279;35944.41894;
8.16;51.27;16516.31712;67386.57385;
2.22;18.66;1635.401345;1815.295493;
6.57;58.26;15111.08285;49639.90715;
7.61;49.98;15015.52928;57134.08892;
8.2;12.43;4023.877193;16497.89649;
3.61;26.32;3751.049744;6770.644789;
5.03;15.69;3115.664352;7835.895846;
8.17;14.93;4815.50237;19671.32718;
3.62;38.94;5564.988285;10072.6288;
8.32;79.1;25981.22037;108081.8767;
6.89;59.26;16119.09318;55530.276;
2.14;56.64;4785.163206;5120.124631;
6.77;77.54;20724.02951;70150.8399;
7.97;86.38;27178.86133;108307.7624;
1.19;88.35;4150.622652;2469.620478;
7.76;84.82;25984.8208;100821.1047;
5.22;47.26;9739.215083;25419.35137;
3.32;32.4;4246.614425;7049.379945;
3.98;66.91;10513.17367;20921.2156;
8.44;52.02;17332.95188;73145.05691;
4.35;81.97;14076.79963;30617.03919;
7.75;23.31;7131.874836;27636.01499;
5.2;87.07;17874.40627;46473.4563;
2.6;77.62;7967.218414;10357.38394;
8.54;44.58;15029.9547;64177.90656;
3.66;12.41;1793.133415;3281.434149;
3.14;18.54;2298.259768;3608.267836;
6.25;78.84;19452.99027;60790.59461;
1.69;28.09;1874.123388;1583.634263;
2.95;44.94;5233.772257;7719.814079;
4.21;34.25;5692.49173;11982.69509;
2.48;65.33;6396.230055;7931.325268;
7.16;59.7;16875.12856;60412.96025;
8.49;34.42;11536.61217;48972.91865;
8.62;89.83;30569.5047;131754.5653;
7.72;41.72;12715.14558;49080.46193;
3.78;46;6864.507253;12973.91871;
8.26;31.21;10177.32287;42032.34347;
8.72;70.79;24369.58503;106251.3907;
2.3;79.41;7210.456627;8292.02512;
8.95;72.31;25549.42517;114333.6777;
6.75;68.5;18253.83334;61606.68752;
8.81;71.15;24746.31572;109007.5208;
4.88;69.63;13414.54522;32731.49034;
1.48;49.43;2888.09891;2137.193193;
7.06;87.38;24354.34636;85970.84265;
1.65;36.3;2364.559822;1950.761853;
5.12;27.94;5647.498178;14457.59534;
7.02;17.51;4852.694988;17032.95941;
4.2;41.55;6889.378656;14467.69518;
8.46;17.76;5931.616454;25090.7376;
1.2;28.06;1329.317278;797.5903665;
4.65;52.38;9615.639741;22356.3624;
8.24;62.19;20230.5414;83349.83055;
4.82;66.42;12638.79432;30459.4943;
1.55;19.89;1217.099876;943.2524035;
6.81;25.63;6890.574852;23462.40737;
7.21;26.77;7619.796495;27469.36636;
1.62;83.05;5311.465783;4302.287284;
7.54;49.89;14850.62004;55986.83754;
4.93;55.09;10722.08951;26429.95064;
1.51;59.92;3571.975642;2696.84161;
3.11;54.24;6659.472143;10355.47918;
5.06;26.79;5351.591647;13539.52687;
6.73;60.29;16018.43506;53902.03396;
8.39;81.35;26945.06619;113034.5527;
2.15;24.7;2096.501367;2253.738969;
6.97;28.5;7842.190265;27330.03307;
5.62;73.55;16318.4434;45854.82594;
2.07;78.37;6404.421826;6628.57659;
7.15;36.28;10240.78048;36610.79023;
1.63;34.49;2219.425316;1808.831632;
6.63;89.6;23452.07502;77743.62869;
1.51;51.66;3079.577131;2325.080734;
8.74;77.67;26799.3632;117113.2172;
6;39.57;9372.965908;28118.89772;
5.01;79.85;15793.28174;39562.17077;
2.4;75.83;7184.756177;8621.707412;
8.61;43.84;14901.61826;64151.4666;
1.32;30.92;1611.287927;1063.450032;
7.51;24.44;7246.042472;27208.88948;
5.68;83.46;18714.8544;53150.18651;
7.46;26.46;7792.708016;29066.8009;
6.47;59.1;15095.63889;48834.3918;
3.45;76.24;10383.92923;17912.27791;
5.02;57.62;11419.22704;28662.25987;
7.81;80.94;24955.94217;97452.95419;
2.74;87.73;9489.829919;13001.06699;
2.2;21.72;1886.436707;2075.080377;
1.82;23.24;1669.810734;1519.527768;
4.45;39.83;6997.292911;15568.97673;
3.21;69;8744.074715;14034.23992;
5.5;82.24;17856.87785;49106.41409;
6.88;43.65;11855.84255;40784.09836;
7.55;73.58;21931.40585;82791.0571;
1.05;43.96;1822.2448;956.6785199;
2.18;61.78;5316.969074;5795.496291;
8.76;11.08;3831.806795;16783.31376;
2.74;19.92;2154.763616;2952.026153;
7.51;67.48;20006.66719;75125.03528;
2.38;78.09;7337.229721;8731.303368;
6.22;82.44;20243.61665;62957.64778;
7.69;32;9714.849004;37353.59442;
4.08;86.34;13906.95163;28370.18133;
2.48;26.78;2621.935418;3251.199918;
7.3;59.54;17158.97838;62630.2711;
4.68;70.09;12949.75792;30302.43353;
6.16;25.69;6247.475377;19242.22416;
2.95;34.5;4017.915952;5926.426029;
4.27;75.96;12804.79317;27338.23341;
5.79;59.14;13518.22344;39135.25687;
5.42;33.67;7204.471698;19524.1183;
9;14.1;5009.811194;22544.15037;
2.21;23.18;2022.392481;2234.743692;
2.69;30.67;3257.060253;4380.74604;
2.61;83.17;8569.72618;11183.49266;
7.67;52.66;15945.41972;61150.68464;
3.34;79.75;10515.66871;17561.16674;
3.96;35;5471.70868;10833.98319;
8.75;19.64;6784.366065;29681.60154;
2.82;20.29;2258.868203;3185.004166;
3.44;83.34;11318.05175;19467.04901;
1.92;89.22;6762.747684;6492.237776;
6.23;26.38;6488.175289;20210.66603;
7.03;71.42;19821.42655;69672.31434;
5.28;29.73;6197.100916;16360.34642;
8.78;45.97;15934.14469;69950.89518;
5.5;47.93;10407.10306;28619.53341;
6.41;62.91;15919.79428;51022.94067;
3.74;61.7;9109.96069;17035.62649;
3.37;61.55;8188.751554;13798.04637;
2.95;72.61;8456.257312;12472.97953;
4.93;71.47;13910.10596;34288.41118;
8.89;36.68;12873.3277;57221.94163;
6.85;66.14;17886.0524;61259.72947;
7.77;89.22;27367.99453;106324.6588;
4.43;24.36;4260.30554;9436.576771;
5.52;44.24;9640.819075;26608.66065;
4.95;77.62;15168.35813;37541.68638;
5.44;58.89;12647.36903;34400.84376;
6.34;83.65;20937.02347;66370.3644;
3.98;23.04;3620.139312;7204.07723;
2.05;25.82;2089.632122;2141.872925;
5.32;34.42;7229.066753;19229.31756;
6.63;29.67;7765.882432;25743.90026;
5.02;79.62;15779.22348;39605.85094;
6.53;30.11;7762.179356;25343.5156;
1.59;40.82;2562.299321;2037.02796;
6.12;35.56;8591.577484;26290.2271;
6.58;50.23;13048.14603;42928.40044;
7.72;23.05;7025.026499;27116.60229;
5.9;54.99;12808.41729;37784.83099;
3.42;80.96;10930.9106;18691.85712;
2.77;42.47;4644.316056;6432.377738;
3.67;75.51;10940.3262;20075.49858;
6.7;33.94;8977.313206;30073.99924;
1.84;24.72;1795.667929;1652.014495;
8.08;36.81;11741.86046;47437.11626;
5.26;82.99;17233.41099;45323.87091;
4.76;73.65;13840.10677;32939.45412;
2.77;24.97;2730.599763;3781.880671;
7.32;45.15;13047.53806;47753.9893;
6.06;12.2;2918.71837;8843.716662;
3.05;56.98;6860.914717;10462.89494;
6.39;66.42;16755.58002;53534.07816;
6.91;81.47;22224.67917;76786.26655;
6.17;75.85;18475.68231;56997.47992;
1.04;22.41;920.0997921;478.4518919;
3.27;54.65;7055.010357;11534.94193;
7.32;49.54;14316.16912;52397.17896;
6.61;36.47;9516.931853;31453.45977;
4.49;31.77;5631.48968;12642.69433;
7.05;75.38;20979.97599;73954.41536;
1.46;19.57;1127.985243;823.4292277;
8.58;68.58;23229.74836;99655.62048;
7.32;57.43;16596.23723;60742.22826;
4.36;83.97;14453.41189;31508.43791;
1.14;70.48;3171.980315;1808.02878;
8.72;39.35;13546.30839;59061.90458;
3.98;14.98;2353.719049;4683.900907;
1.38;67.96;3702.475499;2554.708095;
3.49;14.65;2018.472274;3522.234119;
1.38;26.95;1468.241829;1013.086862;
6.91;63.48;17317.08155;59830.51676;
2.09;78.53;6479.501881;6771.079466;
2.44;22.08;2126.907644;2594.827326;
6.18;83.55;20384.24667;62987.3222;
2.16;76.47;6520.855523;7042.523965;
4.52;79.72;14225.43192;32149.47614;
6.52;69.73;17948.45199;58511.95348;
4.2;53.95;8945.414645;18785.37075;
8.56;78.68;26588.74584;113799.8322;
1.95;13.38;1030.031394;1004.280609;
8.49;67.83;22734.70085;96508.80511;
4.21;88.4;14692.44581;30927.59843;
4.46;51.59;9083.644376;20256.52696;
8.18;41.61;13437.2611;54958.39792;
7.25;11.65;3334.445847;12087.3662;
4.06;13.46;2157.400774;4379.523571;
2.88;54.01;6140.820484;8842.781497;
4.11;39.09;6342.598624;13034.04017;
7.68;18.16;5506.007529;21143.06891;
7.67;35.77;10831.13679;41537.4096;
8.78;67.36;23348.35732;102499.2886;
4.64;52.35;9589.46555;22247.56008;
8.59;13.35;4527.246756;19444.52482;
7.88;47.87;14891.87498;58673.98744;
7.66;72.59;21951.55564;84074.45809;
2.64;48.22;5025.634144;6633.83707;
1.23;89.52;4346.952771;2673.375954;
1.25;16.83;830.5272104;519.0795065;
8;20.5;6474.460487;25897.84195;
6.03;10.5;2499.576011;7536.221672;
4.98;52.44;10309.83613;25671.49197;
5.34;28.31;5968.165573;15935.00208;
7.6;19.47;5841.70041;22198.46156;
3.12;61.64;7592.362943;11844.08619;
1.46;50.17;2891.723028;2110.957811;
3.02;64.18;7651.849022;11554.29202;
7.74;72.59;22180.8147;85839.75291;
5.19;63.6;13031.194;33815.94842;
2.3;63.89;5801.235032;6671.420286;
3.01;47.98;5701.465175;8580.705088;
4.17;16.68;2745.945024;5725.295374;
8.62;41.95;14275.75111;61528.48729;
1.64;65.86;4264.079677;3496.545335;
6.81;62.49;16800.31301;57205.06581;
7.73;72.57;22146.05396;85594.49855;
2.77;77.2;8442.222734;11692.47849;
4.68;32.4;5986.191418;14007.68792;
5.98;56.17;13260.66625;39649.39208;
4.76;88.05;16546.11543;39379.75472;
7.67;15.68;4747.89558;18208.17955;
4.55;45.64;8198.167157;18650.83028;
3.65;12.79;1842.990708;3363.458043;
1.27;10.59;530.9570819;337.157747;
2.59;77.71;7945.777685;10289.7821;
1.3;75.43;3871.214152;2516.289199;
5.38;20.88;4434.784355;11929.56991;
5.65;36.77;8201.660997;23169.69232;
8.68;27.6;9457.765549;41046.70248;
5.34;26.23;5529.670893;14764.22128;
4.08;24.75;3986.53061;8132.522444;
2.42;70.27;6713.43914;8123.26136;
2.65;62.35;6522.920245;8642.869324;
3.22;19.12;2430.54405;3913.17592;
1.66;10.39;680.9000598;565.1470496;
3.53;44.75;6236.306933;11007.08174;
8.28;84.67;27677.03948;114582.9435;
1.04;80.33;3298.153338;1715.039736;
2.64;52.2;5440.441773;7181.383141;
5.65;11.59;2585.184959;7303.14751;
7.41;55.32;16183.04032;59958.16438;
3.05;15.14;1822.99489;2780.067207;
3.5;52.64;7273.503659;12728.6314;
1.35;30.25;1612.199879;1088.234918;
7.77;39.91;12242.28493;47561.27697;
6.38;80.98;20396.6192;65065.21526;
2.69;70.36;7472.016935;10049.86278;
4.07;31.04;4987.419036;10149.39774;
5.38;70.6;14995.0084;40336.5726;
3.34;57.39;7567.32573;12637.43397;
2.01;76.7;6086.269207;6116.700553;
8.23;46.4;15075.70229;62036.51491;
3.25;84.09;10789.15544;17532.3776;
7.03;20.41;5664.454158;19910.55637;
4.8;54.01;10234.70081;24563.28194;
2.48;60.8;5952.71372;7381.365013;
3.73;39.92;5878.399547;10963.21515;
4.45;58.2;10224.51538;22749.54671;
1.22;69.21;3333.407565;2033.378614;
6.44;80.45;20453.6892;65860.87924;
2.22;22.83;2000.868848;2220.964421;
4.36;82.4;14183.17422;30919.3198;
4.28;43.63;7372.057581;15776.20322;
1.93;18.25;1390.528564;1341.860064;
3.49;66.95;9224.349405;16096.48971;
2.28;37.17;3345.701144;3814.099304;
8.98;32.66;11578.49877;51987.45947;
3.21;49.29;6246.310764;10025.32878;
1.4;46.55;2572.808475;1800.965933;
8.99;63.65;22590.08351;101542.4254;
2.95;28.18;3281.880334;4840.773492;
4.67;18.03;3324.08671;7761.742468;
6.13;56.63;13704.6129;42004.63853;
7.42;20.35;5961.122623;22115.76493;
8.52;25.23;8486.264857;36151.48829;
1.43;30.2;1704.914943;1219.014184;
8.88;45.25;15863.21776;70432.68686;
8.05;14.07;4471.463752;17997.6416;
2.8;59.25;6549.469481;9169.257273;
8.67;24.4;8351.580287;36204.10055;
8.35;80.97;26691.3384;111436.3378;
7.42;31.1;9110.118603;33798.54002;
3.28;53.53;6931.557398;11367.75413;
3.2;62.92;7948.742514;12717.98802;
5.4;13.96;2976.041033;8035.310788;
5.42;84.41;18061.46291;48946.56448;
2.3;53.78;4883.243387;5615.729895;
4.79;75.25;14229.89693;34080.60315;
1.48;11.04;645.0457609;477.3338631;
8.78;21.97;7615.252529;33430.9586;
1.18;73.61;3429.087457;2023.1616;
7.69;34.24;10394.88843;39968.34603;
2.88;65.05;7396.044668;10650.30432;
4.75;86.1;16145.68584;38346.00387;
6.57;54.26;14073.59003;46231.74325;
5.03;74.74;14841.60317;37326.63196;
7.96;14.41;4528.316622;18022.70015;
3.96;63.04;9855.329005;19513.55143;
7.53;14.55;4325.31465;16284.80966;
2.52;87.2;8675.145398;10930.6832;
4.94;82.25;16040.67325;39620.46292;
1.56;32.42;1996.628866;1557.370515;
8.1;13.27;4243.416673;17185.83753;
3.96;78.03;12198.78367;24153.59166;
6.12;62.71;15151.2324;46362.77113;
3.15;14.02;1743.485357;2745.989437;
1.75;76.78;5304.517581;4641.452884;
6.58;33.46;8691.836873;28596.14331;
3.08;56.16;6828.692433;10516.18635;
6.24;20.02;4931.833424;15387.32028;
5.39;47.35;10075.54357;27153.58991;
4.42;69.07;12052.34242;26635.67676;
1.91;13.97;1053.390773;1005.988189;
6.52;87.3;22470.95739;73255.32108;
1.41;84.87;4724.251956;3330.597629;
6.9;38.1;10378.4812;35805.76015;
1.53;81.3;4910.680887;3756.670879;
6.54;22.93;5920.270356;19359.28407;
8.96;41.17;14562.92502;65241.90408;
8.13;78.82;25298.03056;102836.4942;
1.17;18.11;836.4963471;489.350363;
5.14;24.46;4963.400366;12755.93894;
3.13;70.9;8760.932;13710.85858;
1.17;42.62;1968.607085;1151.635145;
8.64;37.52;12797.82917;55286.62203;
7.73;70.71;21578.44117;83400.6751;
7.02;56.63;15694.35278;55087.17825;
8.11;89.04;28507.93384;115599.6717;
1.36;84.72;4548.671694;3093.096752;
5.65;58.08;12954.92169;36597.65378;
6.46;37.51;9566.19697;30898.81621;
2.9;44.15;5054.619198;7329.197837;
7.23;45.92;13106.89781;47381.43558;
2.13;70.19;5902.20898;6285.852564;
1.5;16.4;971.1690731;728.3768048;
6.87;89.06;24154.56188;82970.92006;
3.08;18.26;2220.297789;3419.258595;
1.47;83.33;4835.912712;3554.395844;
3.38;51.6;6885.351858;11636.24464;
6.5;76.46;19620.37877;63766.23099;
3.62;32.41;4631.773763;8383.51051;
2.52;14.73;1465.42307;1846.433068;
3.43;11.91;1612.744681;2765.857128;
8.44;45.32;15100.52632;63724.22106;
7.62;88.62;26659.15954;101571.3979;
2.56;20.45;2066.774118;2645.470872;
6.09;35.16;8453.292482;25740.27561;
8.82;85.54;29784.99749;131351.8389;
4.79;49.55;9369.985287;22441.11476;
1.15;45.83;2080.690261;1196.3969;
7.09;83.29;23313.03598;82644.71256;
5.66;82.13;18351.7714;51935.51306;
3.53;30.49;4249.050243;7499.573679;
6.45;30.51;7768.938061;25054.82525;
7.69;20.02;6077.852408;23369.34251;
6.66;30.97;8142.826311;27115.61161;
8.76;25.73;8898.23004;38974.24758;
3.34;70.41;9284.115781;15504.47335;
3.31;78.26;10226.51298;16924.87899;
6.66;57.47;15110.37223;50317.53954;
1.13;75.6;3372.562259;1905.497676;
4.62;48.82;8904.293925;20568.91897;
2.89;60.12;6859.248728;9911.614412;
1.45;64.05;3666.459339;2658.183021;
8.5;67.31;22586.98446;95994.68394;
1.66;79.7;5223.073606;4335.151093;
1.82;10.5;754.4325604;686.53363;
8.56;52.89;17873.39562;76498.13326;
3.09;75.96;9266.232058;14316.32853;
2.28;65.17;5866.003324;6687.243789;
5.55;31.56;6914.960671;19189.01586;
8.53;55.65;18740.18771;79926.90056;
1.91;77.09;5812.877217;5551.297742;
6.61;14.84;3872.532731;12798.72068;
7.19;87.42;24814.15149;89206.8746;
3.22;82.95;10544.64586;16976.87984;
3.3;43.82;5708.816056;9419.546493;
2.17;81.26;6961.395186;7553.113776;
9;57.99;20604.18093;92718.81419;
2.25;81.97;7281.103255;8191.241162;
2.75;11.58;1257.190209;1728.636537;
2.14;82.73;6989.345905;7478.600119;
8.57;72.75;24613.51033;105468.8918;
5.29;81.42;17003.82031;44975.10471;
8.75;59.91;20695.07999;90540.97495;
8.01;44.71;14138.29121;56623.85629;
5.27;84.1;17497.11103;46104.88757;
5.53;11.72;2558.65941;7074.69327;
4.89;83.37;16094.53365;39351.13478;
5.56;33.74;7405.930063;20588.48558;
7.47;75.87;22374.34975;83568.19632;
3.31;71.28;9314.411519;15415.35106;
5.94;52.02;12198.78367;36230.38749;
1.79;74.47;5262.524389;4709.959328;
8.77;83.42;28882.14976;126648.2267;
2.8;56.5;6245.485665;8743.679931;
7.03;29.56;8203.883631;28836.65096;
6.69;71.66;18926.16658;63308.02722;
8.38;80.13;26509.33895;111074.1302;
3.34;70.1;9243.239827;15436.21051;
8.67;68.2;23343.35146;101193.4286;
8.36;21.9;7227.866609;30212.48242;
4.88;68.83;13260.42148;32355.42841;
2.42;23.98;2290.995739;2772.104844;
2.32;86.03;7879.481578;9140.198631;
7.87;64.24;19959.05621;78538.8862;
7.04;36.67;10191.62196;35874.50929;
3.05;87.17;10496.06767;16006.5032;
5.07;46.09;9225.170556;23385.80736;
8.89;89.3;31341.00773;139310.7794;
3.38;77.07;10283.99356;17379.94912;
8.75;13.47;4653.024995;20356.98435;
7.08;24.68;6898.237613;24419.76115;
8.81;74.97;26074.93029;114860.0679;
2.79;52.39;5770.485292;8049.826983;
4.79;15.65;2959.440358;7087.859658;
6.72;30.92;8202.920358;27561.8124;
4.29;23.72;4017.276401;8617.057881;
2.53;86.56;8645.647124;10936.74361;
1.86;26.88;1973.794549;1835.628931;
5.64;18.58;4136.990755;11666.31393;
8.4;43.68;14485.10516;60837.44167;
6.63;40.88;10700.00923;35470.53059;
2.38;70.4;6614.687826;7871.478513;
2.85;33;3712.945176;5290.946875;
6.78;47.44;12697.96457;43046.09989;
4.89;52.24;10084.9039;24657.59003;
5.62;76.15;16895.30203;47475.79871;
6.85;15.28;4132.127014;14152.53502;
7.27;23.59;6770.520984;24610.84378;
7.77;89.75;27530.5706;106956.2668;
8;24.23;7652.496468;30609.98587;
5.94;77.65;18209.06481;54080.9225;
3.72;18.04;2649.349231;4927.78957;
5.27;80.26;16698.19419;43999.74169;
2.64;67.82;7068.405384;9330.295107;
7.4;66.27;19360.13704;71632.50703;
1.42;25.2;1412.695696;1003.013944;
8.92;66.82;23530.49495;104946.0075;
3.45;52.98;7215.904648;12447.43552;
8.77;59;20427.31762;89573.78777;
4.53;37.65;6733.221775;15250.74732;
3.22;28.58;3633.104024;5849.297479;
7.16;85.54;24179.20431;86561.55142;
1.9;48.67;3650.687711;3468.153326;
8.18;81.08;26183.44461;107090.2885;
6.32;66.1;16492.18791;52115.3138;
5.33;85.61;18014.05327;48007.45198;
8.77;70.98;24575.10178;107761.8213;
5.27;67.34;14010.1719;36916.80296;
5.7;71.85;16168.18854;46079.33733;
2.57;15.33;1555.374645;1998.656418;
8.35;32.41;10683.78755;44604.81301;
5.34;28.49;6006.112228;16036.31965;
1.36;76.44;4104.113129;2790.796928;
7.26;69.74;19988.41237;72557.93689;
7.63;79.68;24001.2356;91564.71382;
4.67;17.8;3281.682942;7662.729669;
6.47;12.24;3126.40643;10113.9248;
7.86;27.2;8440.169856;33169.86754;
7.29;44.4;12778.2163;46576.5984;
3.99;59.73;9408.603075;18770.16314;
2.08;47.15;3871.727371;4026.596466;
8.35;63.06;20787.40027;86787.39612;
2.12;67.16;5620.905516;5958.159847;
2.33;44.53;4096.079271;4771.93235;
7.68;79.91;24228.25229;93036.48881;
7.77;26.63;8168.680726;31735.32462;
8.68;58.01;19878.44129;86272.43518;
1.33;62.85;3300.020667;2194.513743;
7.02;57.85;16032.46174;56273.9407;
7.07;22.36;6240.953543;22061.77077;
4.63;39.27;7177.969837;16617.00017;
6.63;62.52;16364.10413;54247.0052;
8.61;86.72;29476.92371;126898.1566;
2.66;25.61;2689.372451;3576.86536;
2.36;40.11;3737.011219;4409.673238;
6.81;62.3;16749.23189;57031.13458;
3.36;18.36;2435.407791;4091.485088;
8.18;35.07;11325.2763;46320.38008;
2.66;22.53;2365.933671;3146.691783;
5.16;16.91;3444.713015;8887.359579;
1;49.47;1952.997319;976.4986594;
2.09;57.6;4752.569825;4966.435467;
5.67;44.67;9999.050185;28347.30727;
2.5;47.13;4651.544554;5814.430693;
8.05;78.95;25090.40961;100988.8987;
6.59;29.48;7669.598519;25271.32712;
2.35;47.77;4431.827421;5207.39722;
6.22;17.15;4211.281241;13097.08466;
2.92;89.12;10273.4844;14999.28723;
4.33;43.03;7355.61482;15924.90609;
7.13;14.98;4216.58714;15032.13316;
8.43;37.51;12483.4428;52617.71138;
5.31;32.36;6783.639662;18010.5633;
8.79;24.53;8512.285082;37411.49293;
1.75;54.6;3772.162802;3300.642452;
4.55;26.93;4837.349727;11004.97063;
8.46;39.85;13309.39841;56298.75525;
8.83;81.25;28323.29723;125047.3573;
6.6;66.19;17246.30464;56912.80533;
4.43;30.6;5351.615334;11853.82796;
7.97;57.8;18186.36472;72472.66343;
6.97;33.24;9146.47033;31875.4491;
2.98;15.84;1863.507642;2776.626386;
7.15;28.45;8030.601013;28709.39862;
8.58;32.33;10950.97353;46979.67644;
8.54;61.35;20683.88786;88320.20115;
8.42;20.99;6977.249718;29374.22131;
1.86;46.79;3435.782997;3195.278187;
3.49;27.89;3842.675204;6705.468231;
3.13;31.33;3871.368118;6058.691104;
8.9;66.19;23256.3805;103490.8932;
5.99;43.96;10395.47271;31134.44078;
6.57;49.36;12802.66133;42056.74248;
2.38;60.72;5705.16825;6789.150218;
8.56;82.67;27937.10751;119570.8201;
8.68;12.26;4201.166871;18233.06422;
2.97;24.31;2850.369386;4232.798538;
7.56;52.86;15776.42841;59634.89938;
4;87.8;13864.82026;27729.64053;
5.12;23.09;4667.170112;11947.95549;
5.05;47.73;9515.739605;24027.2425;
7.11;71.37;20032.95586;71217.1581;
7.9;38.1;11882.60891;46936.30521;
1.57;44.33;2747.622856;2156.883942;
3.35;35.02;4631.489518;7757.744943;
6.97;42.51;11697.2459;40764.90196;
1.19;44.67;2098.566088;1248.646822;
1.97;61.6;4790.784933;4718.923159;
8.87;79.54;27852.80529;123527.1915;
9;73.17;25997.72234;116989.7506;
4.25;77.06;12929.37916;27474.93071;
8.72;32;11016.05765;48030.01135;
5.96;59.14;13915.13156;41467.09204;
1.88;29.67;2202.090343;2069.964922;
8.62;57.23;19475.59562;83939.81711;
2.97;44.29;5193.042374;7711.667925;
1.61;14.77;938.7849271;755.7218663;
6.01;51.2;12147.98284;36504.68843;
5.01;37.97;7509.967537;18812.46868;
2.26;37.88;3379.699957;3819.060951;
6.72;36.12;9582.454183;32197.04605;
2.08;32.8;2693.375563;2801.110585;
3.33;22.31;2932.942444;4883.34917;
3.77;69.08;10281.42746;19380.49077;
7.75;76.52;23411.88599;90721.05822;
8.09;64.39;20564.90385;83185.03609;
